Frequency (Hz)	Level (dB)
17015.625000	-58.273991
17062.500000	-58.564850
17109.375000	-53.654163
17156.250000	-55.854141
17203.125000	-58.432583
17250.000000	-55.717163
17296.875000	-55.437492
17343.750000	-56.400558
17390.625000	-52.903793
17437.500000	-57.391830
17484.375000	-60.469685
17531.250000	-54.242298
17578.125000	-53.138237
17625.000000	-55.983929
17671.875000	-54.177158
17718.750000	-55.831486
17765.625000	-57.126156
17812.500000	-51.723011
17859.375000	-53.049156
17906.250000	-58.480667
17953.125000	-57.503407
18000.000000	-52.757011
18046.875000	-55.478844
18093.750000	-51.446465
18140.625000	-54.460991
18187.500000	-58.281879
18234.375000	-54.751083
18281.250000	-51.018406
18328.125000	-56.857655
18375.000000	-54.236629
18421.875000	-53.560837
18468.750000	-55.431961
18515.625000	-52.675838
18562.500000	-51.725163
18609.375000	-57.878338
18656.250000	-56.103493
18703.125000	-50.200428
18750.000000	-54.665031
18796.875000	-54.208050
18843.750000	-53.908192
18890.625000	-54.112019
18937.500000	-54.234795
18984.375000	-49.386860
19031.250000	-56.500786
19078.125000	-59.278236
19125.000000	-52.086143
19171.875000	-51.737961
19218.750000	-53.671036
19265.625000	-51.998180
19312.500000	-56.295467
19359.375000	-59.943378
19406.250000	-50.166191
19453.125000	-52.561275
19500.000000	-55.827660
19546.875000	-54.353531
19593.750000	-52.160820
19640.625000	-57.251175
19687.500000	-50.600765
19734.375000	-54.892441
19781.250000	-59.267673
19828.125000	-52.759411
19875.000000	-51.019634
19921.875000	-57.685043
19968.750000	-53.960220
20015.625000	-53.940468
20062.500000	-56.567989
20109.375000	-51.229912
20156.250000	-52.546303
20203.125000	-61.231220
20250.000000	-57.169540
20296.875000	-51.333847
20343.750000	-56.093105
20390.625000	-53.400387
20437.500000	-55.642525
20484.375000	-57.315693
20531.250000	-55.262699
20578.125000	-51.343441
20625.000000	-58.207581
20671.875000	-58.181831
20718.750000	-55.393459
20765.625000	-55.906265
20812.500000	-55.219040
20859.375000	-55.245193
20906.250000	-59.855850
20953.125000	-59.008278
21000.000000	-53.733700
21046.875000	-57.023972
21093.750000	-56.870106
21140.625000	-57.197674
21187.500000	-56.766182
21234.375000	-56.790344
21281.250000	-54.405449
21328.125000	-59.181507
21375.000000	-59.160332
21421.875000	-54.257374
21468.750000	-55.159489
21515.625000	-55.536888
21562.500000	-55.658680
21609.375000	-56.901558
21656.250000	-57.639160
21703.125000	-52.235840
21750.000000	-55.756847
21796.875000	-56.826931
21843.750000	-55.963749
21890.625000	-53.602879
21937.500000	-55.133972
21984.375000	-51.810287
22031.250000	-57.039593
22078.125000	-58.566711
22125.000000	-53.369869
22171.875000	-52.881477
22218.750000	-55.116253
22265.625000	-54.916691
22312.500000	-56.089787
22359.375000	-56.899254
22406.250000	-52.130856
22453.125000	-55.112617
22500.000000	-57.118732
22546.875000	-55.044422
22593.750000	-53.385750
22640.625000	-55.482449
22687.500000	-53.409351
22734.375000	-57.127506
22781.250000	-57.802402
22828.125000	-52.974380
22875.000000	-54.871258
22921.875000	-56.878193
22968.750000	-56.066360
23015.625000	-54.264957
23062.500000	-56.459908
23109.375000	-51.744415
23156.250000	-56.432407
23203.125000	-59.841801
23250.000000	-55.352943
23296.875000	-51.740593
23343.750000	-56.102612
23390.625000	-53.629662
23437.500000	-56.768013
23484.375000	-56.928268
23531.250000	-52.375343
23578.125000	-50.890820
23625.000000	-56.762836
23671.875000	-55.923668
23718.750000	-52.144188
23765.625000	-54.000656
23812.500000	-52.701370
23859.375000	-52.484604
23906.250000	-54.774380
23953.125000	-55.580849
